Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.06,75.15,73.8,75.09,72.72,135480400
2020-01-03,74.29,75.14,74.13,74.36,72.01,146322800
2020-01-06,73.45,74.99,73.19,74.95,72.58,118387200
2020-01-07,74.96,75.22,74.37,74.6,72.24,108872000
2020-01-08,74.29,76.11,74.29,75.8,73.4,132079200
2020-01-09,76.81,77.61,76.55,77.41,74.96,170108400
2020-01-10,77.65,78.17,77.06,77.58,75.13,140644800
2020-01-13,77.91,79.27,77.79,79.24,76.74,121532000
2020-01-14,79.18,79.39,78.04,78.17,75.7,161954400
2020-01-15,77.96,78.88,77.39,77.83,75.38,121923600
2020-01-16,78.40,78.93,78.02,78.81,76.32,108829200
2020-01-17,79.07,79.68,78.75,79.68,77.17,137816400
2020-01-21,79.30,79.75,79.0,79.14,76.64,110843200
2020-01-22,79.64,80.0,79.33,79.43,76.92,101832400
2020-01-23,79.48,79.89,78.91,79.81,77.29,104472000
2020-01-24,80.06,80.83,79.38,79.58,77.06,146537600
2020-01-27,77.51,77.94,76.22,77.24,74.8,161940000
2020-01-28,78.15,79.6,78.05,79.42,76.91,162234000
2020-01-29,81.11,81.96,80.35,81.08,78.52,216229200
2020-01-30,80.14,81.02,79.69,80.97,78.41,126743200
2020-01-31,80.23,80.67,77.07,77.38,74.93,199588400
2020-02-03,76.07,78.37,75.56,77.17,74.73,173788400
2020-02-04,78.83,79.91,78.41,79.71,77.19,136616400
2020-02-05,80.88,81.19,79.74,80.36,77.82,118826800
2020-02-06,80.64,81.31,80.07,81.3,78.73,105425600
2020-02-07,80.59,80.85,79.5,80.01,77.66,117684000
2020-02-10,78.54,80.39,78.46,80.39,78.03,109348800
2020-02-11,80.90,80.97,79.68,79.9,77.56,94323200
2020-02-12,80.37,81.81,80.37,81.8,79.4,113730400
2020-02-13,81.05,81.56,80.84,81.22,78.84,94747600
2020-02-14,81.18,81.5,80.71,81.24,78.86,80113600
2020-02-18,78.84,79.94,78.65,79.75,77.41,152531200
2020-02-19,80.00,81.14,80.0,80.9,78.54,93984000
2020-02-20,80.66,81.16,79.55,80.07,77.73,100566000
2020-02-21,79.65,80.11,77.63,78.26,75.97,129554000
2020-02-24,74.32,76.04,72.31,74.54,72.36,222195200
2020-02-25,75.24,75.63,71.53,72.02,69.91,230673600
2020-02-26,71.63,74.47,71.63,73.16,71.02,198054800
